user_id,movie_id,emotion,interaction_type,date
667,1188,Scared,shown,2024-01-02 16:51:51.089748
368,3137,Scared,shown,2024-01-21 16:51:51.099750
128,2319,Excited,view,2024-09-08 16:51:51.104751
477,1770,Inspired,shown,2024-02-18 16:51:51.114748
891,5475,Inspired,shown,2023-10-26 16:51:51.117746
668,4830,Relaxed,shown,2024-03-12 16:51:51.125750
437,7822,Inspired,shown,2024-02-28 16:51:51.129747
917,5220,Scared,shown,2023-11-25 16:51:51.133788
637,2229,Excited,shown,2024-01-11 16:51:51.138789
397,391,Excited,shown,2024-07-09 16:51:51.144752
302,1758,Inspired,view,2024-09-29 16:51:51.154738
990,847,Excited,shown,2024-03-31 16:51:51.169738
998,5860,Scared,shown,2023-11-14 16:51:51.178284
430,2920,Happy,shown,2024-08-15 16:51:51.199203
440,2633,Relaxed,shown,2024-05-25 16:51:51.211203
688,7703,Excited,shown,2024-02-27 16:51:51.224202
491,5307,Happy,shown,2024-06-11 16:51:51.238206
706,8232,Scared,shown,2024-02-06 16:51:51.250201
534,395,Inspired,shown,2024-02-25 16:51:51.257204
10,1594,Scared,shown,2024-08-15 16:51:51.263202
174,2521,Scared,shown,2024-01-31 16:51:51.270205
217,4208,Inspired,shown,2023-11-13 16:51:51.279225
79,725,Inspired,shown,2024-01-23 16:51:51.286206
838,6197,Sweet,shown,2024-08-25 16:51:51.298205
98,1023,Inspired,shown,2024-07-10 16:51:51.307201
490,7757,Relaxed,shown,2024-07-18 16:51:51.316214
477,723,Relaxed,shown,2024-09-23 16:51:51.326204
993,5891,Happy,view,2024-08-11 16:51:51.347206
401,6815,Inspired,shown,2023-12-16 16:51:51.357201
167,1755,Relaxed,shown,2023-12-05 16:51:51.368203
310,8436,Excited,shown,2024-03-16 16:51:51.387201
214,6212,Relaxed,shown,2023-10-31 16:51:51.402207
389,5978,Scared,shown,2024-07-10 16:51:51.415290
128,1529,Sweet,shown,2024-04-03 16:51:51.432532
446,1683,Happy,shown,2024-07-19 16:51:51.437528
523,3729,Inspired,shown,2023-11-09 16:51:51.441529
377,645,Excited,shown,2024-06-29 16:51:51.449538
815,8238,Scared,shown,2024-04-20 16:51:51.455527
439,6999,Inspired,shown,2024-04-30 16:51:51.459531
109,3882,Inspired,shown,2024-03-09 16:51:51.471528
746,2291,Sweet,shown,2024-10-19 16:51:51.478528
345,1992,Excited,shown,2023-12-03 16:51:51.483531
836,8394,Excited,shown,2023-11-24 16:51:51.488533
766,5107,Scared,shown,2023-12-28 16:51:51.498528
30,909,Inspired,shown,2024-06-12 16:51:51.502528
658,1373,Excited,view,2024-08-28 16:51:51.508528
904,1629,Scared,shown,2024-07-14 16:51:51.514527
99,4240,Inspired,shown,2024-07-26 16:51:51.517529
917,5765,Happy,shown,2024-09-04 16:51:51.522528
707,2566,Relaxed,shown,2023-12-12 16:51:51.528528
862,2265,Relaxed,shown,2024-09-19 16:51:51.538526
101,4902,Relaxed,shown,2024-02-10 16:51:51.544526
19,2940,Sweet,shown,2023-11-26 16:51:51.549536
262,5403,Relaxed,shown,2024-02-06 16:51:51.557531
542,8475,Inspired,shown,2024-04-06 16:51:51.564530
295,2818,Inspired,shown,2024-03-27 16:51:51.570530
711,777,Sweet,shown,2023-11-29 16:51:51.576532
583,2481,Relaxed,shown,2024-09-16 16:51:51.583526
480,9341,Excited,shown,2024-01-28 16:51:51.587533
909,7973,Scared,shown,2023-12-05 16:51:51.591525
3,5663,Sweet,shown,2024-04-21 16:51:51.598532
642,3276,Happy,shown,2023-12-03 16:51:51.606529
938,7473,Excited,shown,2024-02-08 16:51:51.613528
465,9362,Happy,shown,2024-05-13 16:51:51.619529
504,8844,Sweet,shown,2024-09-14 16:51:51.628529
951,6602,Sweet,shown,2023-12-19 16:51:51.634532
288,680,Excited,shown,2024-06-25 16:51:51.640525
445,9168,Inspired,shown,2024-05-10 16:51:51.647527
569,2628,Sweet,shown,2024-06-07 16:51:51.653530
582,3685,Inspired,shown,2024-04-03 16:51:51.662529
656,7951,Excited,shown,2024-10-06 16:51:51.673527
376,1513,Scared,shown,2024-10-08 16:51:51.695073
569,4068,Sweet,shown,2024-02-09 16:51:51.702073
282,6203,Happy,shown,2023-12-26 16:51:51.716069
767,7282,Inspired,view,2024-10-14 16:51:51.723071
757,6988,Sweet,shown,2024-07-19 16:51:51.733075
317,8786,Happy,shown,2024-05-08 16:51:51.741069
803,5,Inspired,shown,2024-05-19 16:51:51.752072
912,4863,Excited,shown,2024-02-05 16:51:51.757072
637,9034,Inspired,shown,2024-01-21 16:51:51.767074
355,5073,Sweet,shown,2024-02-20 16:51:51.783071
310,2328,Relaxed,shown,2024-02-03 16:51:51.794081
339,5714,Excited,shown,2024-06-02 16:51:51.814069
271,9114,Sweet,shown,2024-05-29 16:51:51.830073
632,929,Scared,shown,2023-12-15 16:51:51.836069
78,6961,Happy,view,2024-03-07 16:51:51.861074
721,3696,Sweet,view,2024-09-09 16:51:51.868071
115,6355,Excited,shown,2024-05-10 16:51:51.874071
591,2225,Sweet,shown,2023-12-31 16:51:51.881590
223,7146,Excited,shown,2024-02-11 16:51:51.887101
542,4834,Scared,shown,2023-12-10 16:51:51.891105
18,1355,Excited,shown,2024-08-01 16:51:51.897110
808,4931,Happy,shown,2024-03-25 16:51:51.902102
174,6770,Happy,shown,2024-02-13 16:51:51.916102
218,5227,Happy,shown,2024-07-08 16:51:51.921102
221,1525,Scared,shown,2024-09-29 16:51:51.931103
239,8897,Scared,shown,2024-03-24 16:51:51.938110
628,3490,Scared,shown,2024-01-20 16:51:51.944110
136,2890,Inspired,shown,2024-05-20 16:51:51.949105
12,6582,Relaxed,view,2024-08-27 16:51:51.954101
878,2762,Scared,view,2024-04-03 16:51:51.967147
98,2170,Inspired,shown,2024-09-01 16:51:51.971150
456,6855,Inspired,shown,2024-02-04 16:51:51.978109
54,3714,Sweet,view,2024-03-08 16:51:51.984134
506,5193,Happy,shown,2023-12-08 16:51:51.989129
139,2928,Scared,shown,2024-06-05 16:51:51.998131
618,619,Scared,shown,2024-09-28 16:51:52.002129
818,1332,Inspired,view,2024-05-19 16:51:52.006191
676,7103,Scared,view,2023-12-18 16:51:52.012187
926,6702,Scared,shown,2023-12-13 16:51:52.019277
44,8202,Happy,view,2024-03-07 16:51:52.023648
34,1834,Sweet,shown,2024-10-16 16:51:52.032327
174,4673,Happy,shown,2024-06-07 16:51:52.037335
1000,1759,Inspired,shown,2024-08-26 16:51:52.043759
924,1420,Happy,shown,2024-04-01 16:51:52.047801
834,7937,Scared,shown,2024-01-15 16:51:52.052761
